label,tweet
anger,nah ini  yang nunggu anak anteng dengan kesabaran seluas samudra terus bapaknya dateng bikin anak nangis  hmmm kuingin marah melampiaskan
love,ku rindu bisik mu di telingaku seraya kau berkata  semoga kelak kau menjadi anak yang berguna bagi banyak orang dan semoga kau selalu menyayangi kami orang tua mu  
anger,ini hasil sekolah asal sekolah     mikirlah mahkamah internasional itu punya kewenangan mengadili perkara genosida dsbnya    
anger,lah elu yang harusnya ditanya teh  kenapa bisa berasumsi guw mah kacang tanpa kulit  maksudnya apa hayo  ke sana juga kan maksud loooo
anger,web permata krg profesional  ada program cashback rb token pln  waktu di klik info  masuknya ke program paket kuota data  piye iki 
fear,nah     yang saya takutkan itu mas  nanti di tumpangi politik dibalut agama  itu yang bahaya  soale masyarakat kita sedang sensitif dengan hal tersebut 
sadness,mau cerita kesiapa kalau udah seperti begini  hancur hidup ini pikirin dong gimana hati ku aku sedih  aku nangis sampai menetes air mata ini kayaknya lirik lagu sayang pia palen deh wkwkw
sadness,setelah hari puasa dan saur tidak pernah kesiangan  akhirnya di hari ke ngerasain makan saur supeerrr dupeerr ekspress  menit sebelum imsak baru bangun yassalaaam
fear,jdi ada thr tapi dari apbd  yang punya kuasa takut  kalau kalau di garis bawahi sama kpk  dan jadilah mereka ggl dapat thr tahun ini  kok bisa gitu ya  buk mentri bilang aman  yang lain ketakutan 
anger,tolong bantu saya    kenapa ya lptop saya sudah  kali kok tidak bisa buka dokumen pasti not responding padahal sudah pernah dibawa ke hp center semoga   apakah lptop saya termasuk produk gagal atau gimana beli  maret    dan kalau gini terus kan jadi jgkel sndri 
anger,ini udah masuk ke proses penjualan    tapi pas dibuka detail ko malah gini  apakah produk sedang diproses atau diproses tanggal  
anger,   semen indonesia belum nambang loh di rembang   malah ada perusahaan yang lokasi hanya  meter dari areal tambang semen tidak pernah diprotes dan ini sudah bertahun lamanya   kenapa kok pas semen diprotes 
anger,siapa yang bilang punya anak menyenangkan teros  sodorin anak yang tantrum  karena ngantuk tapi tidak mau bobo   istigfar kenceng 
sadness,merasa oon ketika tahu sesuatu dan tidak boleh di bicarakan ke orang lain  nah kelalaian malah sebaliknya  jadi malah merubah siklus dan alur waktu yang seharusnya itu terjadi
anger,punya sahabat cowo  nih  tapi sering nya tidak konsisten terus sering bohong lagi  kenapa sih  udah berkali dimarahin  karena sering bohong tapi tidak mempan juga  apa kodratnya suka bohong apa gimana 
happy,kalau tau ada libur panjang   selain lebaran   tuh rasanya ingin cepet gendong cerrier pake sepatu terus pergi  ketemu alam dan berdamai dengannya 
anger,siapa bilang kafir gabung sama khilafah bro jangan alihkan isu anda itu siapa penyelundup dari kaum bumidatar se olah pro pancasila      
happy,btw doa restu orang tua itu emang gilingan ya    pas udah mentok nyari literatur tambahan  nemu saja dong di rumah  padahal dari kemarin udah panik kudu mesen dari banyumas  apakah ini berkah ramadan   
anger,salah satu contoh tidak tau berterima kasih    padahal datang pas sudah terkenal pi wannaone    ckckckc yang dulu berjuang siapa  jawab sendiri ma ko deh wanna one s swing entertainment warns legal action against fansite masters    via   
fear,dri pagi ngerasain sakit perut kirain mau haid  sudah beli kiranti pas di cek malah tidak ada   plis atulah haid sekarang saja  biar bisa ikut solat ied 
sadness, turut berduka cita buat kawan a cak  semoga  keluarga yang di tinggalkan a  bisa di beri kesabaran  amp meridoi kepergian alm    
anger,   jaringannya mati ya  tidak bisa dibuka mobile jkn  saya mau ke puskesmes terus piye mau tunjukkan kartu elektoniknya  
anger, kamu belum lahir atau belom sekolah bong saya rasa     atau bapak kamu pki bong bandit   rampok atau sejenis yang menganggu orang banyak  pak soeharto dibilang kejam hanya oleh orang pki bandit rampok bong bong bongakkk   
anger,bagi yang dulunya usaha terus sekarang jadi karyawan macam aku pasti bawaannye ingin usaha lagi   tidak ada yang ngatur  flexible  lebih banyak duit  faaak
sadness,salah satu efek merapi sama bom bagi orang yang mau bikin event  negara lain takut ke jogja dan indonesia karena  jadi aku lagi ada event internasional dan beberapa negara belum konfirmasi karena takut sama merapi sama teror juga  semoga merapi lekas reda    semoga ngga ada bom lagi 
anger,baiknya gubernur anies baswedan dimosi tidak percaya biar lengser                                   
anger,kaum oposisi tidak bikin geger an di media termsk medsos ketika rupiah menguat     musim ribut nya khusus waktu terjadi pelemahan saja    dengan menyalahkan semuanya kepada presiden            
sadness,lagi puasa tapi dari pagi udah kesana kemari mmbawa alamat   eh ayuting kalee   enggk ding  ini kenapa siang tetangga sbelah goreng telur yah  kan baunya sampai idung aku hikss piye sih mbak 
anger,   heee aku kemarin ngeliat hoak tetang pohon plastik pertama kali dari akun anda ygdisebarkan lewat fb      ini bukan saja nol besar tapi skaligus nonjok muka junjungan sdr     terima kasih
anger,   min ini gimana  kurirnya salah kirim  malah ke alamat orang  terus pertanggung jawabannya gimana  tolong respon secepatnya  thanks    
fear,ini pas banget  aku habis baca buku ada bule pdkt bilang cariin rumah sama mobil  dicariin mobil sama rumah mewah si bule ok dan niat kirim uang sekitar  jt tapi pake pos  bilang sama hadiah lain  tapi tidak masuk akal kirim yang sebanyak itu pake pos   
anger,            masalahnya itu uang buat konsumsi buka puasa bareng anak yatim yang harus dibayarkan ke katering   
sadness,niat ke masjid sholat nya di lantai  berharap bisa obob manjah karena biasanya tidak banyak yang solat disini  fact  fullhouse sampai shaf belakang  bahaya 
happy,paling excited kalau ngobrol sama orang kreatif  siap saja kalau bakal tercengang sama ide mereka yang mungkin belum pernah terpikirkan olehmu   oh iya  kenapa aku baru kepikiran    
anger,miris   menciptakan  karya  dengan susah payah yang menguras pikiran tenaga waktu dan materi     kalah oleh oknum yang menjiplak dan atau sekedar terima beres memanfaatkan karya orang lain dengan gimmik dan sensasi  gimana menurut      
anger,sebelah mana stereotyping nya dari pernyataan saya  coba ditunjukkan  siapa tahu saya salah bicara  bagus dong kalau banyak yang mengecam  semakin banyak makin terdengar suara untuk kebenaran  semakin bagus  kalau benar tapi kalah keras sama yang salah  itu yang harus diatasi    
anger,tipikal cowo menye menye banget ni  paling ngga bisa diajak argumen  menyalahkan orang dan mengeluh terus ni manusia maha sempurna  pen ngatain goblok tapi puasa 
happy,tiada henti nya q mengucap syukut alhamdulillah     sekarang aku bisa     uang jadi panitia kemarin alhamdulillah trmkah kau beri brlmpah     meski tidak sbrpa inysllh lama mmbukit amin   
anger,kamu mau ngomong apa kayaknya kamu dendam kepada anies pernah disakiti olh gub anies salah apa anies kpdmu  kenapa dendam kamu kelompok dki  yang tidak punya gub anies bukan    pada tempatnya kamu maki anies salah    
sadness,ketika di group keluarga udah pada ngomongin mudik  duuh ingin mudik  tapi apa daya suami libur cuma  hari dari hari h lebaran  itu juga kalau tidak di telpon disuruh masuk   tahun lalu malah habis sholat eid langsung kerja 
sadness,orang yang pernah kalah dalam pertarungan politik sulit untuk bisa disembuhkan karena mereka tidak bisa meraih impian dan sudah kehilangan banyak harta 
sadness,nggada sinyal di rumah  membuatku banyak berfikir  berfikir doang tapi  pikiran ke mana mana  random   tapi pasti ada dia   
fear,ada khabar kasus tuduhan chat mesum terhadap imam besar habib rizieq sudah dihentikan  mohon bantu doa semoga benar adanya  semoga kesucian ramadhan membuka mata hati bapak kita yang menyidik amin
fear,jangan ngecengin aku lagi ya gaes           orang ini udah ada blog nya juga     ya walaupun nulisnya tidak jam  dinihari sih 
anger,cari orang yang selalu menyudutkan ansor  sabar itu bagus tapi kalau terus menerus difitnah disalahkan jangan tinggal diam saatnya
love,halohaa selamat siang denise udah pulang sekolah belum nih   jangan lupa makan siang ya  oh iya gimana udah sehatan kan kamu   kalau emang masih kurang sehat ya banyakin istirahat saja sekarang  kk selalu nunggu kok tweet  dari k
anger,itu lah bodoh mu bong   disuruh baca  tidak mau baca    pbb cikal bakalnya dari masyumi   pbb  keluarga besar bulan bintang   masyumi dasar bong
fear,mudahan sudah terupload semua sebelum z mudik  karena fans modal quota pun butuh daerah dengan jaringan yang bagus   hiksss hitungan jam juga br slsi kalau z mau donlot ini di rumahku pi 
anger,orang pendukung khilafah memang harus di black mail                                             
anger,jangan sok akrab ye mention mention aku   maling dulu aje yang bener nanti kalau udah sukses jadi malingnye baru aku bales mentionan kamu lu pada        
happy,alhamdulillah prof  setelah berbicara semalam di    adem rasanya  semoga membawa keberkahan  amin yaa rabbal  aalamiin 
happy,keren   kira kira masih ada tidak yang bilang pak    anti islam    triliun   hektar  jadi kampus rujukan islam dunia sekelas al azhar  belum lagi proyek ponpes  madrasah  masjid dan fasilitas ummat lain  kalau ada yang masih bilang beliau an
anger,   saya kan datang untuk bertanya  kemudian ngobrol tuh sama mba mba help desk  tapi saya tetep tidak ngerti karena tidak dapet jawaban yang menjawab pertanyaan saya  terus mbanya lama lama agak emosi  yaudah makin tidak kejawab dong  terus saya pulang 
anger,sering tuh aku digituin pas kalau baru ketemu apsara lagi  kok perawatannya makin banyak  makin gendut saja sih   wah senyum saja iyain saja dalem hati  bacot kamu anjing 
fear,kalo sifat buruk mungkin bisa dirubah dengan bertambahnya umur atau berubahnya keadaan  kalau kebiasaan buruk mungkin sulit ya  karena semacam udah jadi hobi  gitu tidak sih 
fear, berdesakan  bejubelan  di krl adalah salah satu godaan dalam berpuasa     apalagi di depan nya ada wanita cantik sambil ngunyah tahu gejrot   hehe  
anger,    ternyata cm slogan doang stelah dkomplen ternyata dbatalin sepihak  dan nama besar itu ndak jaminan keprofesionalan ya  terus nyampein ke pihak official store kalau saya yang batalin  padahal samsek tidak saya batalin jadi sekarang saya sudah tau kal
happy,happy birthday to us    and happy th anniv wkwkwk bentar lagi kita putus huhu aku harus cari pacar baru     
fear,terus   baca komennya pada bilang kalau musik itu haram  dan bla bla  nah disini aku tau  kalau fanatik kan emang gaboleh  tapi kalau sekedar suka gitu gimana 
happy,rabu      anakbujangku selesai menempuh pendidikan di tk bhakti ibu  bakauheni  eit  ternyata ia dapat piala jugak hehehe
anger,saya hidup dizaman presiden hebat yaitu soeharto   beliau buat aman dan tenang untuk masyarakat      tetapi tidak tenang untuk  kaum pki kaum rampok kaum bandit kaum yang ingin jadi pejabat negara tapi otaknya kosong  hanya kaum itulah yang tidak suka bapak soeharto   
happy,bersama segenap dewan guru   terimakasih telah membimbing anak kami selama ini  bu   semoga ibu ibu semua dimudahkan segala urusannya  dan ilmu yang ibu ajarkan menjadi amal jariah yang pahalanya akan terus mengalir ke ibu  selamanya     
anger,gue emang cuek sih   banget bgt malah tapi kalau ada yang buat risih atau tidak nyaman ya hati saja lah pokoknya   jangan sampai aku ajak nongkrong bareng 
sadness,bagi anda anda yang dianugerahi gigi rapi dari lahir  bersyukurlah   karena pake behel ternyata lebih sakit daripada sakit hati  
happy, alhamdulillah pie  di rsup kariadi ini bener diurus  jadi sudah tidak panas tinggi lagi soalnya langsung dikasih paracetamol yang botolan
anger,melihat udah terlalu banyak    project yang jatohnya malah jadi scam dan fraud  asli aku ingin coba deh bawa mereka sama creator creator mereka yang udah bawa kabur duit banyak orang  termasuk aku  ke ranah hukum indonesia 
anger,soal via vallen  aku sepakat sama nikita mirzani jangan lebay  kalau tidak suka di gituin  tinggal tolak dan block tu orang  jangan di share jadi konsumsi publik  seperti ingin menampilkan kepolosan tidak berdosa gimana gituu    
fear,baru  ngerusuh  di balai desa terus pas mau pulang tadi  bu lurah nanya   mba ulfah    itu temannya yang satu ke mana sih  kok ndak kelihatan    hah  teman saya buk  o o  bu lurah   iya  yang biasa bareng  dari senin ndak berangkat lho   wait  dari senin    
fear,mba pps   tuh  pasti ada apa apa     mba ulfa juga pasti ngerasa ini kok tidak ada        sebentar  sebentar     dia kenapa lagi sih  dari senin tidak berangkat     bikin khawatir saja t t
anger,hadeh ini lagi satu cewek yang sudah pikirannya jahat  jari jarinya jahat  dinikmati  heh mbak emang penyanyi dangdut itu auto lonte  lonte juga bisa kena sexual harassment mbaaaak 
sadness,lu ngapa si galau mulu   kamu kalau galau banyak diem  kalau lagi seneng tidak bisa diem  mangat dong kak nanas seneng itu bisa nularin ke orang loh   wkwk
anger,sudah berjuta kali bong dikasih tau   pak harto hanya kejam   pki bandit rampok kamu keturunan kelompok mana bong    hahahahaha
happy,sebentar lagi ketemu krucil krucil ponakan yang gemesin banget  suka nya minta main berantem beranteman  seru sih meskipun ya resiko pada pegel pegel nantinya  sedikit sedikit sambil ngajarin berhitung agar  lagi nanti pas masuk sekolah
anger,lalu bagaimana dengan negara  mereka akan kehilangan banyak pendapatan dari cukai rokok  hutang negara akan semakin banyak  ah  itu kan hanya pembenaranmu saja  coba lihat ini  bagaimana  apa pendapatmu masih sama    
fear,eh tapi numbuhin brewok juga buat nyenengin diri sendiri sih  compliment dari sesama cowok bonus lah  tapi tidak dirawat dikit langsung tumbuh liar atau gatel banget
anger,kosan dekat kantor  dateng paling telat  terus kalau siang tidur pula selonjoran di sofa  temen kantor kaya gini emang perlu dikatain tai sih 
anger,si    ini ngga bisa seenak dewe melepaskan tanggung jawab ke backers cuma berdasarkan toc antara kickstarter selaku penyedia platform crowd funding  creators  dan backers  toc tetap tunduk ke hukum yang berlaku di governing law si toc  aku mau cari legal loophole nya    
sadness,ada anak sma habis perpisahan atau semacam wisuda sekolah  foto bareng sama temen temennya sejawat dengan pakai kebaya lalu di post di ig dengan caption  nanti siapa ya yang bakal nikah duluan   ku langsung tertunduk lesu dan seraya ingin minum extra joss  cuk 
happy,awak sih jadi orang slow  mau di omongin a to z asal alebanyakmakan  ngga cranky  berat naik sudah bahagia  mslh apapun jadi kyk ngga ada  ibu banget sih skrg
anger,ganti presiden  siapa takut   hanya siapa calonnya  apa si dia yang onoh  ih tidak syudih
anger,para penipu  kasihan ibukota negara aku di pimpin sama mereka yang haus jabatan tanpa mementingkan rakyatnya    tai buat      
fear,perginya diantar sama teman  tidak bawa hp  udah janjian biar dijemput jam setengah   krna sayanya ketiduran  dan yang jemput tidak nongol  bingung mau gimana  akhirnya jalan kaki  kamu siang bolong  ngeri kali lahh   vanashh syekaleh vemirsyahh
sadness,iya  kamu laki laki  sang pengambil keputusan  tapi kan aku juga ingin dianggap  diajak berdiskusi  dimintai pendapat  diajak mencari jalan keluar  atau sekadar ditenangkan kecemasannya  aku ini ada  jangan hidup sendiri    
sadness,akhirnya ingin berkata juga  aku tidak mau sakit  kenapa migrain ini harus dtg saat lagi byknya masalah yang membutuhkan tenaga mikir  apalagi bentar lagi harus mudik  ya allah kenapa coba 
happy,pengen cerita dari kemaren tidak sempet  beberapa hari yang lalu tarawih di masjid tidak konsen banget posisi lagi apes  gimana tidak  posisi solat di shaf depan ada mas pake sarung terus sarung nya nyeplak pantatnya pas banget  ketat  kampret  pen ngakak tapi lagi solat  syit 
happy,congratulation    semoga dilancarkan dan dapat kesempatan memandang orang orang di panggung    break a leg      
fear,gak jamin deh  tapi gemana pak police      siap tidak kerja tanpa pungli dan sejenisnya  korup  pungli itu bagai addicted  sekali nyoba  keenakan  nambah lagi deh  
anger,looh  kok merendahkan semangat perlindungan perempuan sih  justru jadi cewek itu kudu tegas dan galak sama laki seperti gitu  di block saja udah  ngapain di share sampai se indonesia tau
sadness,udah semingguan tidak ada kabar wkwkwkwk akunya sibuk ngurus rapot sama ijazah anak     terus tidak nanya kabarnya dia juga selama seminggu sahabat macam apa kamu    
sadness,haaaa syabar ajaaa    beloman waktunya buat ikutttt    pemerintah ajanihhh yang ketumbenan ngasih liburnya kepanjangaaannnnnn      
anger,dimohon jangan paksa saya buat include dimana  harap sopan dan jelas kalau mau bo jangan labil  gajelas will be block        tentu saja yang sudah taatin rule saya utamakan
anger,pembukaan tidak pernah di amandemen cebong busuk atas berkat rahmat allah yang maha kuasa    kamu baca pembukaan uud  disitu semua dasar negara r i bongo memang bongak
anger,apa sih susahnya mengapresiasi sedikit saja sama apa yang sudah dilakuin oranglain dengan ngasih hak nya tepat waktu  dikira gapnya kebutuhan kali ya giliran masalah kerjaan no  mau lagi ijin libur tetap saja dihajar terus  ketjewalah saya    
anger, ya tutup matalah karena  pejabat bukan cuma pinter tapi tau etika masa dalam satu kabinet main nyerang  berani y berani tapi etika dimanamemangkabinet gundul
happy,ngapain pada rame mikir nyari baju lebaran  emang harus ya  kalau aku mah tiap hari pake baju lebaran    soalnya kalau pake baju sempitan    ngaaap   
happy,lewat tengah hari  semoga harimu menyenangkan ya  yuk semangat 
sadness,gw tu biasa beli shopee pake atm manual asal cocok jumlahnya di verifikasi otomatis  eh ini keenakan jadi teledor pake akun sepupu aku malah tidak otomatis pesanannnya kecancel ya allah malih aku kapan ya berenti goblok
sadness,kayanya aku kalau shopee emang jangan nitip akun orang deh  mau irit ongkir apa gmana  dulu nitip firsta pesen lenti donghan  yang datang boneka pokemon
happy,terima kasih temen hmj di keperawatan stikes al irsyad cilacap sudah berbagi kebahagiaan bersama mbah kakung dan mbah putri      
sadness,gue tidak suka tidak seneng sama yang namanya maling  cuma aku juga tidak seneng kalau maling digebukin sampai bonyok banget apalagi sampai dibakar dan dibunuh 
anger,manusia rakus bunda  menteri udah advokat dirampok juga  banyak tahu rahasia negara waktu di istana sama orba  bandit bingit
anger,plnmemangphp surat edaran maintain daerah a sampai jam  tapi skg sudah jam   listrik belum hidup juga  kalau telat dikit bayar tagihan langsung denda ini kalau mati listrik mulu dapet potongan tidak    
happy,sebagai supporter    aku tidak suka barca  tapi sebagai pecinta sepakbola aku suka ini film  keren lahhh     
anger,konyol banget mbak komentar anda  main ignore saja dikira hal gitu sepele banget  dia tidak nyaman makanya di publish biar ngasi pelajaran buat orang yang mau punya niat goda biar tidak nerusin niatnya kalau tidak pingin di permaluin  reminder juga bua
anger,fahri aktivis  nol isinya  mana reformasi mu tidak merubah apapun kecuali koar koar bebas di negeriku  mustinya golkar kamu bubarin  harto diturunkan golkar melenggang jaya  kata amien raisa bodoh
anger,thread ini dipersembahkan oleh wanita yang permisif terhadap pelecehan yang dialami wanita lainnya dengan alasan kejadian seperti itu banyak terjadi dan tidak ada yang mengadukan  khanmaen     
anger,ada yang lebih menggelikan ketimbang kasus sexual harassment yang menimpa via vallen  para politisi  amp partai politik memanfaatkannya sebagai  panggung pertunjukan  dengan dalih pembelaan korban  
happy, ko si drummer ini lucu sih mukanya  seperti tengil tapi ngegemesin  terus mulai dibiasin   sereceh itu aku punya bias 
sadness,macet parah di kemang  disebelah mobil aku terparkir gerobak mie ayam yang luar biasa menggugah selera  padahal baru ngeliat gerobaknya doang 
anger,pernah ngomel  karena diginiin terus bang ojolnya malah nyolot bilang  kalau ikutan macet jalan normal saya yang rugi neng bensinnya   jauh mba muter baliknya rugi saya  wth
happy,hbd my lovely wife amie amoy      wish u all the best      semoga selalu berada didalam perlindungan  swt  panjang umur  senantiasa bahagia bersama keluarga dan kerabat  sehat selalu  semakin banyak rejeki  dan selalu menjadi wanita yang hebat bagi keluarga     amin   
